"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest_ind2","Brood_ind2","clutch_id_ind2"
"CO_34131","CO_97370",0.994,0.006,0,0.003,64467,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2640-97370","Cooks","mom","Cooks-23",NA,NA,NA
"CO_34131","CO_83408",0.991,0.001,0.007,0.008,61133,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83408","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1"
"CO_34131","CO_E01",0.992,0.008,0,0.004,52064,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E01","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_34131","CO_97385",0.992,0.006,0.002,0.005,59004,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2640-97385","Make Believe","mom","MakeBelieve-69",NA,NA,NA
"CO_34131","CO_E02",0.993,0.006,0.002,0.005,56713,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E02","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_34131","CO_83407",0.991,0.009,0,0.005,59029,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2811-83407","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1"
"CO_34131","CO_E06",0.537,0.314,0.149,0.306,54252,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E06","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected"
"CO_34131","CO_E03",0.991,0.008,0.001,0.005,61160,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E03","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_34131","CO_97596",0.989,0.011,0,0.006,57509,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","2640-97596","Make Believe","mom","MakeBelieve-20",NA,NA,NA
"CO_34131","CO_E16",0.994,0.006,0,0.003,66886,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E16","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_34131","CO_E04",0.993,0.007,0,0.004,56342,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E04","Urban Farm Girlz","egg","UrbanFarm-02",2,"collected","UrbanFarm-02_collected"
"CO_34131","CO_E18",0.995,0.005,0,0.003,64009,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E18","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_34131","CO_E15",0.993,0.007,0,0.003,58076,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E15","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_34131","CO_E17",0.994,0.005,0,0.003,55547,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E17","Cooks","egg","Cooks-23",23,"collected","Cooks-23_collected"
"CO_34131","CO_E07",0.5,0.338,0.163,0.331,63155,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E07","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected"
"CO_34131","CO_E08",0.421,0.358,0.221,0.4,58138,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E08","Make Believe","egg","MakeBelieve-26",26,"collected","MakeBelieve-26_collected"
"CO_34131","CO_E20",0.992,0.007,0,0.004,54171,"2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","E20","Make Believe","egg","MakeBelieve-69",69,"collected","MakeBelieve-69_collected"
