"dist","near_rank","BarnName_1","BarnName_2"
8611.566649,40,"Blue Cloud Gazebo","Reinarz Garage est"
8646.634192,41,"Blue Cloud Gazebo","Reinarz shed est"
8798.592743,42,"Blue Cloud Gazebo","Alishas est"
9151.680338,43,"Blue Cloud Gazebo","Sol y Sombra est"
33.6104056,1,"Blue Cloud main","Blue Cloud Gazebo"
41.49721875,2,"Blue Cloud main","Blue Cloud pony shed"
60.81465473,3,"Blue Cloud main","Blue Cloud Middle Shed"
116.1169953,4,"Blue Cloud main","Blue Cloud wash room"
451.2314297,5,"Blue Cloud main","Nixon est"
925.0130217,6,"Blue Cloud main","Starlight est"
951.230431,7,"Blue Cloud main","Green Mill est"
1016.758014,8,"Blue Cloud main","Jays est"
1248.311777,9,"Blue Cloud main","Struthers back shed"
1282.306886,10,"Blue Cloud main","Struthers main"
1317.240399,11,"Blue Cloud main","Struthers round"
1356.267398,12,"Blue Cloud main","McCauley est"
2250.304983,13,"Blue Cloud main","Jims Green Barn est"
2324.039286,14,"Blue Cloud main","Speedwell est"
3154.328285,15,"Blue Cloud main","Red Wagon porch est"
3160.370672,16,"Blue Cloud main","Mayas est"
3706.930068,17,"Blue Cloud main","Karens est"
3928.765414,18,"Blue Cloud main","Make Believe"
3968.405502,19,"Blue Cloud main","Make Believe Shed"
4098.901931,20,"Blue Cloud main","CHR"
4322.122415,21,"Blue Cloud main","Plumbumpy est"
4344.341705,22,"Blue Cloud main","Brown Barn est"
4432.865572,23,"Blue Cloud main","Boyer"
4649.013242,24,"Blue Cloud main","Mary Anns est"
4754.681144,25,"Blue Cloud main","Cathys est"
4764.859268,26,"Blue Cloud main","Cathys trailer est"
4851.236295,27,"Blue Cloud main","Martes est"
4881.656336,28,"Blue Cloud main","Ericas"
5309.66736,29,"Blue Cloud main","Dome House est"
5336.481456,30,"Blue Cloud main","Quick est"
5385.601613,31,"Blue Cloud main","Urban Farm Girlz Sheep Shed"
5425.344701,32,"Blue Cloud main","Urban Farm Girlz Red Barn"
5461.779428,33,"Blue Cloud main","Urban Farm Girls Chicken coop"
5800.507097,34,"Blue Cloud main","Grizz est"
6228.244095,35,"Blue Cloud main","James Ditch est"
6302.735018,36,"Blue Cloud main","Schaaps"
7511.536869,37,"Blue Cloud main","Cargill est"
8125.005075,38,"Blue Cloud main","Hepp awning"
8135.083191,39,"Blue Cloud main","Cooks"
8600.704332,40,"Blue Cloud main","Reinarz Garage est"
8635.838791,41,"Blue Cloud main","Reinarz shed est"
8789.331402,42,"Blue Cloud main","Alishas est"
9138.03965,43,"Blue Cloud main","Sol y Sombra est"
17.45443459,1,"Blue Cloud Middle Shed","Blue Cloud pony shed"
27.13005795,2,"Blue Cloud Middle Shed","Blue Cloud Gazebo"
52.87267263,3,"Blue Cloud Middle Shed","Blue Cloud wash room"
60.81465473,4,"Blue Cloud Middle Shed","Blue Cloud main"
384.2112683,5,"Blue Cloud Middle Shed","Nixon est"
912.2562113,6,"Blue Cloud Middle Shed","Green Mill est"
959.5430682,7,"Blue Cloud Middle Shed","Jays est"
996.6728216,8,"Blue Cloud Middle Shed","Starlight est"
1208.80991,9,"Blue Cloud Middle Shed","Struthers back shed"
1242.344394,10,"Blue Cloud Middle Shed","Struthers main"
1279.160161,11,"Blue Cloud Middle Shed","Struthers round"
1392.756566,12,"Blue Cloud Middle Shed","McCauley est"
2246.265623,13,"Blue Cloud Middle Shed","Jims Green Barn est"
2290.354762,14,"Blue Cloud Middle Shed","Speedwell est"
3129.47082,15,"Blue Cloud Middle Shed","Red Wagon porch est"
3160.454104,16,"Blue Cloud Middle Shed","Mayas est"
3708.902809,17,"Blue Cloud Middle Shed","Karens est"
3861.779098,18,"Blue Cloud Middle Shed","Make Believe"
3901.416272,19,"Blue Cloud Middle Shed","Make Believe Shed"
4095.447993,20,"Blue Cloud Middle Shed","CHR"
4307.733004,21,"Blue Cloud Middle Shed","Plumbumpy est"
4381.206088,22,"Blue Cloud Middle Shed","Brown Barn est"
4398.19486,23,"Blue Cloud Middle Shed","Boyer"
4597.928418,24,"Blue Cloud Middle Shed","Mary Anns est"
4705.235243,25,"Blue Cloud Middle Shed","Cathys est"
4715.612373,26,"Blue Cloud Middle Shed","Cathys trailer est"
