Send.,Year,Band,Site,Sex,Type,FamilyID,Rep.by.x,GPS_tag.,Nest._1,Tissue,DNA.ID,DNA.Concentration..ng.µL.,DNA.storage.location,X,Re.extract.,Seq.ID,Rep.by.y,Nest..,Brood..,clutch_id
Y,2022,2850-57731,CHR,M,dad,CHR-032,439,,32,blood,439,22.695,CO 2022 Field Box 2,,,CO-57731,439,NA,NA,NA
Y,2022,2811-83095,CHR,,kid,CHR-037,487,,37,blood,487,33.333,CO 2022 Field Box 2,,,CO-83095,487,37,1,CHR_37_1
Y,2022,2811-83096,CHR,,kid,CHR-037,488,,37,blood,488,58.173,CO 2022 Field Box 2,,,CO-83096,488,37,1,CHR_37_1
Y,2022,2811-83097,CHR,,kid,CHR-037,489,,37,blood,489,43.276,CO 2022 Field Box 2,,,CO-83097,489,37,1,CHR_37_1
Y,2022,2850-57735,CHR,F,mom,CHR-037,441,,37,blood,441,25.036,CO 2022 Field Box 2,,,CO-57735,441,NA,NA,NA
Y,2022,2850-57806,CHR,M,dad,CHR-037,420,,37,blood,420,69.356,CO 2022 Field Box 2,,,CO-57806,420,NA,NA,NA
Y,2022,2881-33631,CHR,,kid,CHR-037,709,,119,blood,709,102.873,CO 2022 Field Box 5,,,CO-33631,709,119,2,CHR_119_2
Y,2022,2881-33632,CHR,,kid,CHR-037,710,,119,blood,710,98.802,CO 2022 Field Box 5,,,CO-33632,710,119,2,CHR_119_2
Y,2022,2811-83122,CHR,,kid,CHR-039,497,,39,blood,497,72.85,CO 2022 Field Box 3,,,CO-83122,497,39,1,CHR_39_1
Y,2022,2811-83123,CHR,,kid,CHR-039,498,,39,blood,498,55.912,CO 2022 Field Box 3,,,CO-83123,498,39,1,CHR_39_1
Y,2022,2811-83124,CHR,,kid,CHR-039,499,,39,blood,499,38.652,CO 2022 Field Box 3,,,CO-83124,499,39,1,CHR_39_1
N,2022,2811-83125,CHR,,kid,CHR-039,816,,39,blood,500,7.852,CO 2022 Field Box 3,,,CO-83125,816,39,1,CHR_39_1
Y,2022,2811-83341,CHR,,kid,CHR-039,533,,39.2,blood,533,27.008,CO 2022 Field Box 3,,,CO-83341,533,39,2,CHR_39_2
N,2022,2811-83342,CHR,,kid,CHR-039,834,,39.2,blood,534,13.177,CO 2022 Field Box 3,,,CO-83342,834,39,2,CHR_39_2
Y,2022,2811-83343,CHR,,kid,CHR-039,535,,39.2,blood,535,31.206,CO 2022 Field Box 3,,,CO-83343,535,39,2,CHR_39_2
Y,2022,2811-83344,CHR,,kid,CHR-039,536,,39.2,blood,536,23.911,CO 2022 Field Box 3,,,CO-83344,536,39,2,CHR_39_2
Y,2022,2850-57620,CHR,M,dad,CHR-039,352,,39,blood,352,24.515,Colorado Field Blood 2022 Box 1,,,CO-57620,352,NA,NA,NA
Y,2022,2850-57649,CHR,F,mom,CHR-039,395,,39,blood,395,38.358,Colorado Field Blood 2022 Box 1,,,CO-57649,395,NA,NA,NA
Y,2022,2811-83262,CHR,,kid,CHR-043,606,,43,blood,606,157.261,CO 2022 Field Box 4,,,CO-83262,606,43,1,CHR_43_1
Y,2022,2811-83263,CHR,,kid,CHR-043,508,,43,blood,508,25.144,CO 2022 Field Box 3,,,CO-83263,508,43,1,CHR_43_1
Y,2022,2811-83264,CHR,,kid,CHR-043,607,,43,blood,607,89.641,CO 2022 Field Box 4,,,CO-83264,607,43,1,CHR_43_1
Y,2022,2811-83265,CHR,,kid,CHR-043,608,,43,blood,608,137.428,CO 2022 Field Box 4,,,CO-83265,608,43,1,CHR_43_1
Y,2022,2850-57567,CHR,M,dad,CHR-043,368,,43,blood,368,21.146,Colorado Field Blood 2022 Box 1,,,CO-57567,368,NA,NA,NA
Y,2022,2850-57736,CHR,F,mom,CHR-043,552,,43,blood,552,34.309,CO 2022 Field Box 3,,,CO-57736,552,NA,NA,NA
Y,2022,T011,CHR,,kid,CHR-043,T011,,43,tissue,T011,65.361,1.997,,,CO-T011,T011,43,1,CHR_43_1
N,2022,2850-57588,CHR,F,mom,CHR-045,841,,45,blood,673,6.513,CO 2022 Field Box 5,,,CO-57588,841,NA,NA,NA
Y,2022,2850-57653,CHR,M,dad,CHR-045,372,,45,blood,372,35.828,Colorado Field Blood 2022 Box 1,,,CO-57653,372,NA,NA,NA
Y,2022,2881-34082,CHR,,kid,CHR-045,786,,45,blood,786,34.471,CO 2022 Field Box 6,,,CO-34082,786,45,2,CHR_45_2
Y,2022,2881-34083,CHR,,kid,CHR-045,787,,45,blood,787,74.074,CO 2022 Field Box 6,,,CO-34083,787,45,2,CHR_45_2
Y,2022,2881-34084,CHR,,kid,CHR-045,788,,45,blood,788,83.333,CO 2022 Field Box 6,,,CO-34084,788,45,2,CHR_45_2
Y,2022,T008,CHR,,kid,CHR-045,T008,,45,tissue,T008,285.167,1.955,,,CO-T008,T008,45,2,CHR_45_2
Y,2022,2850-57646,CHR,M,dad,CHR-054,370,,#N/A,blood,370,55.645,Colorado Field Blood 2022 Box 1,,,CO-57646,370,NA,NA,NA
N,2022,2850-57571,CHR,F,mom,CHR-058,838,,58,blood,427,3.546,CO 2022 Field Box 2,,,CO-57571,838,NA,NA,NA
Y,2022,2850-57579,CHR,M,dad,CHR-058,339,,58,blood,339,21.191,Colorado Field Blood 2022 Box 1,,,CO-57579,339,NA,NA,NA
