"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","band_ind1","site_ind1","nest_ind1","type_ind1","FamilyID_ind1","brood_ind1","clutchID_ind1","band_ind2","site_ind2","nest_ind2","type_ind2","FamilyID_ind2","brood_ind2","clutchID_ind2","mom.assign3","dad.assign3"
"CO_97596","CO_E092",0.242,0.653,0.105,0.431,55115,"2640-97596","Make Believe",70,"mom","MakeBelieve-70",NA,"Make Believe_70_","E092","Make Believe",70,"kid","MakeBelieve-70","collected","Make Believe_70_collected",1,1
"CO_57684","CO_83155",0.265,0.632,0.102,0.419,62343,"2850-57684","Struthers",23,"dad","Struthers-23",NA,"Struthers_23_","2811-83155","Struthers",23,"kid","Struthers-23","1","Struthers_23_1",1,1
"CO_57684","CO_83156",0.215,0.703,0.082,0.434,67142,"2850-57684","Struthers",23,"dad","Struthers-23",NA,"Struthers_23_","2811-83156","Struthers",23,"kid","Struthers-23","1","Struthers_23_1",1,1
"CO_57551","CO_83150",0.226,0.702,0.072,0.423,59863,"2850-57551","Struthers",24,"mom","Struthers-24",NA,"Struthers_24_","2811-83150","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2
"CO_57551","CO_83151",0.247,0.702,0.051,0.402,64332,"2850-57551","Struthers",24,"mom","Struthers-24",NA,"Struthers_24_","2811-83151","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2
"CO_57551","CO_83149",0.258,0.674,0.068,0.405,62502,"2850-57551","Struthers",24,"mom","Struthers-24",NA,"Struthers_24_","2811-83149","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,2
"CO_57551","CO_83148",0.249,0.695,0.056,0.403,64522,"2850-57551","Struthers",24,"mom","Struthers-24",NA,"Struthers_24_","2811-83148","Struthers",24,"kid","Struthers-24","1","Struthers_24_1",1,1
"CO_57551","CO_83177",0.297,0.607,0.096,0.399,53789,"2850-57551","Struthers",24,"mom","Struthers-24",NA,"Struthers_24_","2811-83177","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1
"CO_57551","CO_83176",0.299,0.592,0.109,0.405,56100,"2850-57551","Struthers",24,"mom","Struthers-24",NA,"Struthers_24_","2811-83176","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1
"CO_57551","CO_83178",0.314,0.578,0.107,0.397,59896,"2850-57551","Struthers",24,"mom","Struthers-24",NA,"Struthers_24_","2811-83178","Struthers",25,"kid","Struthers-24","2","Struthers_25_2",1,1
