"female","male","pairwise","attempt1","barn","nest","location1","soc.pair","total.dur","process.dist.m","dur.fertile","ci.diff","rest.SI.chr","clutch_id_merge","clutch_match","fert_type","shared_fert","pat.clutch.size","bin_fert"
"2811-38984","2850-57578","2811-38984_2850-57578","2","CHR","102","CHR-102",0,11,2.609073064,0,22,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57578","2811-38984_2850-57578","1","CHR","102","CHR-102",0,0,2.609073064,0,21,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57579","2811-38984_2850-57579","1","CHR","102","CHR-102",0,3,5.795943745,3,8,0.219354838709677,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57579","2811-38984_2850-57579","2","CHR","102","CHR-102",0,11,7.337925181,0,-16,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57580","2811-38984_2850-57580","2","CHR","102","CHR-102",0,9,11.50131062,0,-33,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57580","2811-38984_2850-57580","1","CHR","102","CHR-102",0,0,11.50131062,0,16,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57581","2811-38984_2850-57581","1","CHR","102","CHR-102",0,5,10.69451428,5,6,0.212903225806452,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57581","2811-38984_2850-57581","2","CHR","102","CHR-102",0,11,11.5730881118182,5,6,0.303225806451613,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57582","2811-38984_2850-57582","2","CHR","102","CHR-102",0,11,13.92789691,0,17,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57582","2811-38984_2850-57582","1","CHR","102","CHR-102",0,0,13.92789691,0,14,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57589","2811-38984_2850-57589","2","CHR","102","CHR-102",0,11,5.705506599,0,16,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57589","2811-38984_2850-57589","1","CHR","102","CHR-102",0,0,5.705506599,0,12,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57620","2811-38984_2850-57620","2","CHR","102","CHR-102",0,11,4.703666967,0,15,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57620","2811-38984_2850-57620","1","CHR","102","CHR-102",0,0,4.703666967,0,15,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57647","2811-38984_2850-57647","2","CHR","102","CHR-102",0,11,0.210376542,0,25,0.319354838709677,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57647","2811-38984_2850-57647","1","CHR","102","CHR-102",0,0,0.210376542,0,20,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
"2811-38984","2850-57653","2811-38984_2850-57653","2","CHR","102","CHR-102",0,11,14.83818046,10,-1,0.287096774193548,"CHR_102_2",1,NA,0,4,"no"
"2811-38984","2850-57653","2811-38984_2850-57653","1","CHR","102","CHR-102",0,0,12.75639032,0,15,0.229032258064516,"CHR_102_1",1,NA,0,3,"no"
