"Ind1","Ind2","k0_hat","k1_hat","k2_hat","pi_HAT","nbSNP","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest.._ind1","Brood.._ind1","clutch_id_ind1","Band_ind2","Site_ind2","Type_ind2","FamilyID_ind2","Nest.._ind2","Brood.._ind2","clutch_id_ind2"
"CO_57659","CO_34015",0.986,0.01,0.004,0.009,56684,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34015","CHR","kid","CHR-066",66,1,"CHR_66_1"
"CO_57659","CO_83325",0.979,0.019,0.002,0.011,65961,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83325","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_57659","CO_83323",0.983,0.017,0,0.009,61273,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83323","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_57659","CO_83274",0.98,0,0.019,0.019,61209,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83274","CHR","kid","CHR-074",74,1,"CHR_74_1"
"CO_57659","CO_34031",0.982,0.011,0.007,0.013,63709,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34031","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_57659","CO_83326",0.981,0.019,0,0.009,61185,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83326","CHR","kid","CHR-066",16,2,"CHR_16_2"
"CO_57659","CO_34030",0.982,0.018,0,0.009,65856,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34030","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_57659","CO_T002",0.978,0.015,0.008,0.015,56661,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"T002","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_57659","CO_83276",0.97,0.023,0.007,0.019,59581,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83276","CHR","kid","CHR-074",74,1,"CHR_74_1"
"CO_57659","CO_34032",0.982,0.017,0.001,0.01,59206,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-34032","CHR","kid","CHR-073",73,1,"CHR_73_1"
"CO_57659","CO_33678",0.976,0.012,0.011,0.017,62806,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33678","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_57659","CO_83275",0.97,0.023,0.007,0.019,58079,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83275","CHR","kid","CHR-074",74,1,"CHR_74_1"
"CO_57659","CO_33677",0.977,0.018,0.004,0.013,60932,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33677","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_57659","CO_33679",0.977,0.021,0.002,0.013,64300,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33679","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_57659","CO_33680",0.972,0.019,0.009,0.018,64620,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2881-33680","CHR","kid","CHR-074",6,2,"CHR_6_2"
"CO_57659","CO_83118",0.973,0.016,0.012,0.02,50784,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83118","CHR","kid","CHR-080",80,1,"CHR_80_1"
"CO_57659","CO_83427",0.983,0.014,0.003,0.01,56461,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83427","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_57659","CO_83430",0.981,0.015,0.003,0.011,61326,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83430","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_57659","CO_83428",0.979,0.019,0.002,0.011,63691,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83428","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_57659","CO_83431",0.983,0.012,0.005,0.011,58226,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83431","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_57659","CO_83429",0.981,0.018,0.001,0.01,58497,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83429","CHR","kid","CHR-078",78,1,"CHR_78_1"
"CO_57659","CO_83119",0.974,0.025,0.001,0.013,58840,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83119","CHR","kid","CHR-080",80,1,"CHR_80_1"
"CO_57659","CO_83120",0.962,0.038,0,0.019,55634,"2850-57659","Blue Cloud","dad","BlueCloud-04",NA,NA,NA,"2811-83120","CHR","kid","CHR-080",80,1,"CHR_80_1"
