"SeqID","Band","Site","Type","FamilyID","Nest","Brood","clutchID"
"CO_34028","2881-34028","Cooks","kid","Cooks-04",4,1,"Cook's_4_1"
"CO_34005","2881-34005","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"CO_34006","2881-34006","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"CO_34007","2881-34007","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"CO_34008","2881-34008","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"CO_34009","2881-34009","Cooks","kid","Cooks-06",6,1,"Cook's_6_1"
"CO_34060","2881-34060","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"CO_34061","2881-34061","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"CO_34062","2881-34062","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"CO_34063","2881-34063","Cooks","kid","Cooks-13",13,1,"Cook's_13_1"
"CO_34033","2881-34033","Cooks","kid","Cooks-17",17,1,"Cook's_17_1"
"CO_34034","2881-34034","Cooks","kid","Cooks-17",17,1,"Cook's_17_1"
"CO_34035","2881-34035","Cooks","kid","Cooks-17",17,1,"Cook's_17_1"
"CO_34036","2881-34036","Cooks","kid","Cooks-17",17,1,"Cook's_17_1"
"CO_83130","2811-83130","Cooks","kid","Cooks-27",27,1,"Cook's_27_1"
"CO_83131","2811-83131","Cooks","kid","Cooks-27",27,1,"Cook's_27_1"
"CO_83132","2811-83132","Cooks","kid","Cooks-27",27,1,"Cook's_27_1"
"CO_83069","2811-83069","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"CO_83070","2811-83070","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"CO_83071","2811-83071","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"CO_83072","2811-83072","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"CO_83073","2811-83073","Cooks","kid","Cooks-29",29,1,"Cook's_29_1"
"CO_34055","2881-34055","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"CO_34056","2881-34056","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"CO_34057","2881-34057","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"CO_34058","2881-34058","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"CO_34059","2881-34059","Cooks","kid","Cooks-29",8,2,"Cook's_8_2"
"CO_83258","2811-83258","Cooks","kid","Cooks-31",31,1,"Cook's_31_1"
"CO_83260","2811-83260","Cooks","kid","Cooks-31",31,1,"Cook's_31_1"
"CO_83261","2811-83261","Cooks","kid","Cooks-31",31,1,"Cook's_31_1"
"CO_33658","2881-33658","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33659","2881-33659","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33660","2881-33660","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33661","2881-33661","Cooks","kid","Cooks-31",14,2,"Cook's_14_2"
"CO_33618","2881-33618","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
"CO_33619","2881-33619","Cooks","kid","Cooks-33",33,1,"Cook's_33_1"
